name, latitude, longitude, elevation, time, comment, symbol, description
WR01,-45.4643606347192,167.156232373443, None, None,DOC150 Double, Navaid Red, NEW
WR02,-45.4645522481268,167.158071305056, None, None,DOC150 Double, Navaid Red, NEW
WR03,-45.4666517678558,167.15874281975, None, None,DOC150 Double, Navaid Red, NEW
WR04,-45.4681232656561,167.159297792987, None, None,DOC150 Double, Navaid Red, NEW
WR05,-45.469626641941,167.160491746001, None, None,DOC150 Double, Navaid Red, NEW
WR05A GRAV PIT TRAP,-45.4710099417328,167.161187707016, None, None,DOC150 Double, Navaid Red, NEW
WR06,-45.4715975600544,167.162201553034, None, None,DOC150 Double, Navaid Red, NEW
WR07,-45.4735000337795,167.162296172981, None, None,DOC150 Double, Navaid Red, NEW
WR08,-45.4751872132386,167.162721464867, None, None,DOC150 Double, Navaid Red, NEW
WR09,-45.4772458619438,167.163474250296, None, None,DOC150 Double, Navaid Red, NEW
WR10,-45.4777837139205,167.166099260562, None, None,DOC150 Double, Navaid Red, NEW
WR11,-45.478931269769,167.168291403799, None, None,DOC150 Double, Navaid Red, NEW
WR12,-45.4807831525964,167.169243704732, None, None,DOC150 Double, Navaid Red, NEW
WR13,-45.4821936442193,167.170383789154, None, None,DOC150 Double, Navaid Red, NEW
WR14,-45.4840762334488,167.169422391783, None, None,DOC150 Double, Navaid Red, NEW
WR15,-45.4857195770683,167.168922094673, None, None,DOC150 Double, Navaid Red, NEW
WR16,-45.4845276577004,167.171223605224, None, None,DOC150 Double, Navaid Red, NEW
WR17,-45.4851424239459,167.171802421676, None, None,DOC150 Double, Navaid Red, NEW
WR18,-45.4863948843159,167.169716031843, None, None,DOC150 Double, Navaid Red, NEW
WR19,-45.4861944060356,167.172112050924, None, None,DOC150 Double, Navaid Red, NEW
WR20,-45.4859716878539,167.174654967044, None, None,DOC150 Double, Navaid Red, NEW
WR21,-45.4851402577987,167.177054751038, None, None,DOC150 Double, Navaid Red, NEW
WR22,-45.4853812990668,167.177279384386, None, None,DOC150 Double, Navaid Red, NEW
WR23,-45.4875001864207,167.178155838404, None, None,DOC150 Double, Navaid Red, NEW
